File ID,digit_label,participant,intonation
0000433.wav,100,S106,neutral
0000434.wav,19,S40,excited
0000435.wav,1,S19,neutral
0000436.wav,7,S48,neutral
0000437.wav,8,S114,neutral
0000438.wav,100,S155,excited
0000439.wav,12,S182,neutral
0000440.wav,18,S84,excited
0000441.wav,30,S167,bored
0000442.wav,16,S100,bored
0000443.wav,13,S125,neutral
0000444.wav,90,S133,question
0000445.wav,12,S100,bored
0000446.wav,0,S136,bored
0000447.wav,13,S47,neutral
0000448.wav,17,S39,bored
0000449.wav,7,S18,bored
0000450.wav,1,S63,excited
0000451.wav,100,S136,question
0000452.wav,11,S117,neutral
0000453.wav,1000000,S165,question
0000454.wav,20,S24,excited
0000455.wav,1000,S155,neutral
0000456.wav,20,S146,bored
0000457.wav,6,S81,question
0000458.wav,1,S112,question
0000459.wav,40,S143,excited
0000460.wav,1000000000,S59,question
0000461.wav,14,S151,neutral
0000462.wav,14,S111,question
0000463.wav,1000000,S147,question
0000464.wav,1000000,S73,excited
0000465.wav,8,S136,excited
0000466.wav,10,S81,bored
0000467.wav,3,S83,bored
0000468.wav,10,S35,excited
0000469.wav,40,S73,question
0000470.wav,70,S80,excited
0000471.wav,4,S120,excited
0000472.wav,11,S161,bored
0000473.wav,17,S156,question
0000474.wav,17,S121,excited
0000475.wav,3,S35,bored
0000476.wav,3,S122,neutral
0000477.wav,18,S138,neutral
0000478.wav,6,S182,excited
0000479.wav,3,S165,bored
0000480.wav,18,S106,question
0000481.wav,1000,S23,bored
0000482.wav,80,S162,question
0000483.wav,17,S109,question
0000484.wav,60,S31,question
0000485.wav,90,S126,excited
0000486.wav,30,S42,neutral
0000487.wav,100,S65,question
0000488.wav,50,S161,neutral
0000489.wav,1000000,S168,question
0000490.wav,3,S55,excited
0000491.wav,13,S177,neutral
0000492.wav,16,S121,excited
0000493.wav,7,S92,neutral
0000494.wav,1000000000,S44,neutral
0000495.wav,14,S70,excited
0000496.wav,100,S116,neutral
0000497.wav,70,S150,neutral
0000498.wav,40,S57,neutral
0000499.wav,6,S10,excited
0000500.wav,17,S116,neutral
0000501.wav,1000000000,S24,neutral
0000502.wav,100,S84,neutral
0000503.wav,60,S138,question
0000504.wav,1,S35,question
0000505.wav,1000,S181,question
0000506.wav,50,S35,neutral
0000507.wav,7,S125,question
0000508.wav,13,S116,neutral
0000509.wav,80,S120,excited
0000510.wav,14,S32,bored
0000511.wav,7,S39,neutral
0000512.wav,5,S100,neutral
0000513.wav,7,S62,question
0000514.wav,70,S170,neutral
0000515.wav,15,S83,question
0000516.wav,1000,S11,bored
0000517.wav,8,S109,question
0000518.wav,1000000,S81,bored
0000519.wav,7,S155,excited
0000520.wav,5,S111,bored
0000521.wav,1000000,S8,neutral
0000522.wav,90,S4,bored
0000523.wav,8,S59,question
0000524.wav,1000000,S157,excited
0000525.wav,16,S155,excited
0000526.wav,12,S165,bored
0000527.wav,40,S100,question
0000528.wav,4,S18,bored
0000529.wav,5,S27,bored
0000530.wav,50,S41,bored
0000531.wav,1000000,S123,question
0000532.wav,3,S141,excited
0000533.wav,2,S110,excited
0000534.wav,80,S93,bored
0000535.wav,15,S2,bored
0000536.wav,16,S102,neutral
0000537.wav,50,S149,bored
0000538.wav,8,S127,excited
0000539.wav,15,S5,excited
0000540.wav,30,S85,question
0000541.wav,13,S26,excited
0000542.wav,1000000,S171,bored
0000543.wav,13,S40,question
0000544.wav,100,S82,bored
0000545.wav,60,S104,excited
0000546.wav,9,S26,excited
0000547.wav,7,S105,excited
0000548.wav,17,S46,excited
0000549.wav,1,S47,neutral
0000550.wav,8,S81,bored
0000551.wav,1000000000,S67,bored
0000552.wav,100,S111,bored
0000553.wav,40,S100,neutral
0000554.wav,90,S138,bored
0000555.wav,6,S162,excited
0000556.wav,6,S87,question
0000557.wav,80,S3,bored
0000558.wav,2,S75,question
0000559.wav,12,S61,bored
0000560.wav,19,S75,bored
0000561.wav,13,S30,question
0000562.wav,40,S15,question
0000563.wav,40,S12,excited
0000564.wav,10,S145,excited
0000565.wav,0,S11,bored
0000566.wav,13,S16,excited
0000567.wav,6,S113,excited
0000568.wav,19,S123,neutral
0000569.wav,100,S20,neutral
0000570.wav,3,S149,bored
0000571.wav,40,S58,question
0000572.wav,5,S146,neutral
0000573.wav,9,S10,bored
0000574.wav,5,S145,question
0000575.wav,15,S9,bored
0000576.wav,10,S32,question
0000577.wav,70,S103,excited
0000578.wav,12,S94,question
0000579.wav,70,S7,neutral
0000580.wav,12,S168,bored
0000581.wav,16,S67,excited
0000582.wav,20,S75,bored
0000583.wav,13,S61,question
0000584.wav,14,S83,excited
0000585.wav,7,S172,neutral
0000586.wav,1000000000,S65,bored
0000587.wav,14,S7,bored
0000588.wav,5,S46,bored
0000589.wav,30,S129,neutral
0000590.wav,3,S144,neutral
0000591.wav,7,S152,excited
0000592.wav,11,S146,bored
0000593.wav,12,S149,neutral
0000594.wav,11,S153,question
0000595.wav,12,S84,excited
0000596.wav,30,S32,question
0000597.wav,1000,S138,question
0000598.wav,19,S130,neutral
0000599.wav,9,S17,bored
0000600.wav,20,S33,neutral
0000601.wav,0,S88,bored
0000602.wav,7,S41,bored
0000603.wav,5,S69,question
0000604.wav,0,S156,bored
0000605.wav,18,S9,bored
0000606.wav,9,S2,bored
0000607.wav,19,S27,bored
0000608.wav,20,S171,excited
0000609.wav,30,S27,neutral
0000610.wav,11,S23,bored
0000611.wav,16,S24,neutral
0000612.wav,8,S149,neutral
0000613.wav,13,S167,neutral
0000614.wav,14,S138,excited
0000615.wav,11,S109,question
0000616.wav,80,S116,excited
0000617.wav,40,S114,bored
0000618.wav,11,S24,question
0000619.wav,40,S110,question
0000620.wav,8,S29,bored
0000621.wav,13,S81,excited
0000622.wav,11,S144,neutral
0000623.wav,40,S72,question
0000624.wav,40,S26,excited
0000625.wav,18,S34,neutral
0000626.wav,9,S90,bored
0000627.wav,30,S171,neutral
0000628.wav,40,S63,excited
0000629.wav,14,S108,bored
0000630.wav,7,S41,neutral
0000631.wav,1000,S67,neutral
0000632.wav,1000,S174,bored
0000633.wav,9,S23,excited
0000634.wav,8,S63,bored
0000635.wav,50,S138,excited
0000636.wav,17,S106,neutral
0000637.wav,20,S113,excited
0000638.wav,6,S159,excited
0000639.wav,5,S34,question
0000640.wav,8,S47,bored
0000641.wav,30,S164,neutral
0000642.wav,6,S70,excited
0000643.wav,7,S139,bored
0000644.wav,11,S8,bored
0000645.wav,18,S144,question
0000646.wav,80,S139,bored
0000647.wav,0,S13,bored
0000648.wav,19,S90,question
0000649.wav,1000000000,S17,question
0000650.wav,9,S95,neutral
0000651.wav,11,S180,bored
0000652.wav,6,S81,bored
0000653.wav,14,S15,excited
0000654.wav,6,S105,excited
0000655.wav,4,S63,excited
0000656.wav,40,S99,bored
0000657.wav,5,S24,neutral
0000658.wav,50,S9,neutral
0000659.wav,70,S155,question
0000660.wav,13,S49,neutral
0000661.wav,17,S39,question
0000662.wav,5,S110,excited
0000663.wav,9,S61,excited
0000664.wav,100,S62,question
0000665.wav,5,S108,question
0000666.wav,20,S139,bored
0000667.wav,1000,S21,question
0000668.wav,1000,S116,bored
0000669.wav,30,S37,neutral
0000670.wav,6,S153,question
0000671.wav,2,S180,bored
0000672.wav,70,S148,neutral
0000673.wav,7,S28,excited
0000674.wav,30,S74,neutral
0000675.wav,10,S183,excited
0000676.wav,15,S99,question
0000677.wav,13,S16,question
0000678.wav,7,S169,excited
0000679.wav,90,S149,neutral
0000680.wav,6,S144,excited
0000681.wav,4,S167,neutral
0000682.wav,11,S170,excited
0000683.wav,4,S100,excited
0000684.wav,50,S23,question
0000685.wav,11,S3,question
0000686.wav,2,S95,bored
0000687.wav,1,S171,excited
0000688.wav,100,S136,bored
0000689.wav,6,S72,bored
0000690.wav,40,S155,bored
0000691.wav,3,S100,excited
0000692.wav,17,S74,question
0000693.wav,100,S161,neutral
0000694.wav,6,S16,excited
0000695.wav,40,S28,excited
0000696.wav,11,S57,neutral
0000697.wav,90,S86,bored
0000698.wav,30,S122,excited
0000699.wav,1000,S24,bored
0000700.wav,0,S152,question
0000701.wav,7,S86,question
0000702.wav,20,S176,bored
0000703.wav,4,S130,neutral
0000704.wav,14,S35,question
0000705.wav,8,S58,neutral
0000706.wav,1000000000,S99,bored
0000707.wav,1,S40,question
0000708.wav,16,S54,neutral
0000709.wav,6,S120,neutral
0000710.wav,1000000,S40,neutral
0000711.wav,60,S26,bored
0000712.wav,12,S94,neutral
0000713.wav,1000,S34,excited
0000714.wav,11,S78,question
0000715.wav,6,S30,excited
0000716.wav,19,S88,question
0000717.wav,0,S79,neutral
0000718.wav,80,S145,question
0000719.wav,3,S101,bored
0000720.wav,40,S9,question
0000721.wav,4,S24,neutral
0000722.wav,20,S177,question
0000723.wav,5,S10,question
0000724.wav,0,S177,excited
0000725.wav,13,S140,excited
0000726.wav,50,S111,neutral
0000727.wav,13,S51,question
0000728.wav,1000,S111,bored
0000729.wav,5,S40,neutral
0000730.wav,7,S31,bored
0000731.wav,30,S2,question
0000732.wav,1,S136,bored
0000733.wav,4,S46,question
0000734.wav,11,S47,neutral
0000735.wav,0,S28,bored
0000736.wav,70,S6,bored
0000737.wav,1000,S140,bored
0000738.wav,4,S123,question
0000739.wav,50,S138,bored
0000740.wav,12,S126,question
0000741.wav,80,S111,neutral
0000742.wav,80,S139,neutral
0000743.wav,40,S23,question
0000744.wav,13,S45,neutral
0000745.wav,1,S43,bored
0000746.wav,7,S29,excited
0000747.wav,13,S73,excited
0000748.wav,20,S129,neutral
0000749.wav,5,S107,neutral
0000750.wav,14,S78,bored
0000751.wav,20,S19,question
0000752.wav,70,S148,question
0000753.wav,5,S68,excited
0000754.wav,16,S114,question
0000755.wav,100,S111,bored
0000756.wav,80,S53,question
0000757.wav,18,S101,excited
0000758.wav,90,S80,bored
0000759.wav,100,S177,neutral
0000760.wav,50,S127,question
0000761.wav,8,S87,bored
0000762.wav,13,S40,question
0000763.wav,60,S90,neutral
0000764.wav,10,S11,neutral
0000765.wav,16,S48,bored
0000766.wav,11,S83,excited
0000767.wav,40,S109,excited
0000768.wav,6,S84,neutral
0000769.wav,3,S109,bored
0000770.wav,60,S106,neutral
0000771.wav,50,S62,excited
0000772.wav,1000000,S163,excited
0000773.wav,15,S27,excited
0000774.wav,5,S54,excited
0000775.wav,6,S178,question
0000776.wav,19,S54,excited
0000777.wav,1000000,S41,bored
0000778.wav,2,S109,question
0000779.wav,70,S86,question
0000780.wav,2,S130,bored
0000781.wav,1,S39,excited
0000782.wav,11,S109,excited
0000783.wav,17,S90,excited
0000784.wav,60,S59,bored
0000785.wav,8,S65,neutral
0000786.wav,3,S54,bored
0000787.wav,0,S1,excited
0000788.wav,90,S104,question
0000789.wav,1000,S19,bored
0000790.wav,0,S38,question
0000791.wav,19,S106,excited
0000792.wav,1,S65,bored
0000793.wav,3,S105,bored
0000794.wav,13,S128,excited
0000795.wav,14,S97,bored
0000796.wav,6,S5,question
0000797.wav,1000000000,S2,excited
0000798.wav,2,S29,excited
0000799.wav,0,S86,question
0000800.wav,1,S101,neutral
0000801.wav,0,S162,question
0000802.wav,19,S91,question
0000803.wav,1000,S50,bored
0000804.wav,1,S31,neutral
0000805.wav,3,S1,excited
0000806.wav,20,S70,excited
0000807.wav,7,S4,neutral
0000808.wav,8,S49,neutral
0000809.wav,1000000000,S82,question
0000810.wav,50,S182,excited
0000811.wav,10,S139,excited
0000812.wav,5,S167,neutral
0000813.wav,40,S3,question
0000814.wav,100,S85,neutral
0000815.wav,100,S161,excited
0000816.wav,18,S120,question
0000817.wav,15,S99,excited
0000818.wav,9,S27,bored
0000819.wav,60,S154,bored
0000820.wav,60,S63,bored
0000821.wav,19,S46,neutral
0000822.wav,5,S139,bored
0000823.wav,18,S184,neutral
0000824.wav,20,S133,excited
0000825.wav,6,S140,excited
0000826.wav,8,S121,excited
0000827.wav,12,S174,question
0000828.wav,80,S144,neutral
0000829.wav,1000,S117,bored
0000830.wav,0,S19,excited
0000831.wav,1000000,S25,excited
0000832.wav,30,S8,bored
0000833.wav,90,S17,question
0000834.wav,16,S141,neutral
0000835.wav,13,S90,bored
0000836.wav,18,S76,neutral
0000837.wav,1000000000,S90,question
0000838.wav,8,S53,bored
0000839.wav,9,S35,excited
0000840.wav,100,S151,bored
0000841.wav,80,S79,question
0000842.wav,17,S12,question
0000843.wav,11,S78,bored
0000844.wav,90,S31,question
0000845.wav,16,S172,bored
0000846.wav,20,S152,question
0000847.wav,13,S109,excited
0000848.wav,6,S156,bored
0000849.wav,4,S176,excited
0000850.wav,1000000000,S58,question
0000851.wav,40,S98,excited
0000852.wav,1000,S110,excited
0000853.wav,10,S69,question
0000854.wav,60,S146,question
0000855.wav,20,S45,excited
0000856.wav,4,S143,neutral
0000857.wav,2,S129,question
0000858.wav,1000000,S94,neutral
0000859.wav,9,S107,bored
0000860.wav,1,S126,neutral
0000861.wav,1000000000,S59,excited
0000862.wav,16,S100,excited
0000863.wav,16,S23,question
0000864.wav,6,S143,bored
0000865.wav,100,S25,neutral
0000866.wav,7,S93,neutral
0000867.wav,20,S112,excited
0000868.wav,19,S168,excited
0000869.wav,13,S161,excited
0000870.wav,60,S18,excited
0000871.wav,80,S77,question
0000872.wav,60,S177,question
0000873.wav,15,S45,excited
0000874.wav,11,S18,neutral
0000875.wav,1000000000,S40,bored
0000876.wav,19,S152,question
0000877.wav,90,S24,bored
0000878.wav,1000000,S172,neutral
0000879.wav,10,S54,neutral
0000880.wav,16,S140,question
0000881.wav,1000000000,S21,question
0000882.wav,13,S180,excited
0000883.wav,3,S108,neutral
0000884.wav,5,S182,question
0000885.wav,2,S89,excited
0000886.wav,14,S54,excited
0000887.wav,19,S101,neutral
0000888.wav,70,S155,bored
0000889.wav,1000,S6,excited
0000890.wav,50,S67,question
0000891.wav,3,S59,excited
0000892.wav,1,S158,excited
0000893.wav,2,S106,excited
0000894.wav,13,S64,excited
0000895.wav,100,S32,neutral
0000896.wav,9,S109,neutral
0000897.wav,14,S73,excited
0000898.wav,8,S113,question
0000899.wav,1000000000,S172,bored
0000900.wav,0,S159,question
0000901.wav,14,S2,question
0000902.wav,11,S173,question
0000903.wav,15,S172,bored
0000904.wav,17,S178,neutral
0000905.wav,16,S86,excited
0000906.wav,15,S177,question
0000907.wav,80,S81,neutral
0000908.wav,8,S8,neutral
0000909.wav,60,S67,excited
0000910.wav,8,S172,bored
0000911.wav,40,S20,question
0000912.wav,1000000,S16,bored
0000913.wav,1000,S2,neutral
0000914.wav,9,S4,neutral
0000915.wav,60,S161,neutral
0000916.wav,20,S18,bored
0000917.wav,10,S7,excited
0000918.wav,1,S59,bored
0000919.wav,0,S10,excited
